unit,tra_meas,partner,geo\time	2014
PASS,PASS_BRD_DEP,AT,BE	216332
PASS,PASS_BRD_DEP,AT,BG	212491
PASS,PASS_BRD_DEP,AT,CY	102153
PASS,PASS_BRD_DEP,AT,CZ	: 
PASS,PASS_BRD_DEP,AT,DE	: 
PASS,PASS_BRD_DEP,AT,DK	217062
PASS,PASS_BRD_DEP,AT,EA	: 
PASS,PASS_BRD_DEP,AT,EE	: 
PASS,PASS_BRD_DEP,AT,EL	432546
PASS,PASS_BRD_DEP,AT,ES	710580
PASS,PASS_BRD_DEP,AT,EU15	: 
PASS,PASS_BRD_DEP,AT,EU25	: 
PASS,PASS_BRD_DEP,AT,EU27	: 
PASS,PASS_BRD_DEP,AT,EU28	: 
PASS,PASS_BRD_DEP,AT,FI	89013
PASS,PASS_BRD_DEP,AT,FR	540066
PASS,PASS_BRD_DEP,AT,HR	139319
PASS,PASS_BRD_DEP,AT,HU	: 
PASS,PASS_BRD_DEP,AT,IE	: 
PASS,PASS_BRD_DEP,AT,IT	: 
PASS,PASS_BRD_DEP,AT,LT	27056
PASS,PASS_BRD_DEP,AT,LU	40220
PASS,PASS_BRD_DEP,AT,LV	43223
PASS,PASS_BRD_DEP,AT,MT	47992
PASS,PASS_BRD_DEP,AT,NL	: 
PASS,PASS_BRD_DEP,AT,PL	: 
PASS,PASS_BRD_DEP,AT,PT	69032
PASS,PASS_BRD_DEP,AT,RO	: 
PASS,PASS_BRD_DEP,AT,SE	: 
PASS,PASS_BRD_DEP,AT,SI	31483
PASS,PASS_BRD_DEP,AT,SK	27704
PASS,PASS_BRD_DEP,AT,UK	804383
PASS,PASS_BRD_DEP,BE,AT	: 
PASS,PASS_BRD_DEP,BE,BG	88603
PASS,PASS_BRD_DEP,BE,CY	26389
PASS,PASS_BRD_DEP,BE,CZ	: 
PASS,PASS_BRD_DEP,BE,DE	: 
PASS,PASS_BRD_DEP,BE,DK	242889
PASS,PASS_BRD_DEP,BE,EA	: 
PASS,PASS_BRD_DEP,BE,EE	: 
PASS,PASS_BRD_DEP,BE,EL	510897
PASS,PASS_BRD_DEP,BE,ES	2533975
PASS,PASS_BRD_DEP,BE,EU15	: 
PASS,PASS_BRD_DEP,BE,EU25	: 
PASS,PASS_BRD_DEP,BE,EU27	: 
PASS,PASS_BRD_DEP,BE,EU28	: 
PASS,PASS_BRD_DEP,BE,FI	92293
PASS,PASS_BRD_DEP,BE,FR	1010157
PASS,PASS_BRD_DEP,BE,HR	78238
PASS,PASS_BRD_DEP,BE,HU	: 
PASS,PASS_BRD_DEP,BE,IE	: 
PASS,PASS_BRD_DEP,BE,IT	: 
PASS,PASS_BRD_DEP,BE,LT	45843
PASS,PASS_BRD_DEP,BE,LU	129
PASS,PASS_BRD_DEP,BE,LV	41508
PASS,PASS_BRD_DEP,BE,MT	43064
