#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000	0.0069	0.0001	0.0019	0.0001	0.0012	0.000133333	0.0011	0.0001	405.4	13.0062	405.4	13.0062	-1173.1	55.7585	-347.7	83.6627	1000	0	1000	0	773.4	18.3789	829.2	20.5544
2154.4	0.031	0.000210819	0.0037	0.000152753	0.0037	0.000152753	0.0036	0.000163299	873	20.3814	873	20.3814	-2688.7	138.652	-970.7	175.412	2154	0	2154	0	1635.5	25.5535	1758.2	29.5555
4641.44	0.1614	0.000266667	0.006	0	0.0092	0.000249444	0.0092	0.0002	1753.2	44.064	1753.2	44.064	-5991.4	182.074	-2432.7	254.922	4641	0	4641	0	3476.9	43.4589	3732.8	50.6019
9999.52	0.8301	0.00168951	0.0174	0.000163299	0.0249	0.000406885	0.0248	0.000466667	3976.8	46.7594	3976.8	46.7594	-11925.3	209.476	-3930	295.257	9999	0	9999	0	7659.1	52.3755	8235.8	59.9916
21543	4.1191	0.00595063	0.0286	0.000163299	0.0627	0.00153514	0.0632	0.00142049	8691.2	84.1988	8691.2	84.1988	-25092.4	435.763	-8097.6	525.802	21542	0	21542	0	16637.1	99.5359	17852.9	107.226
46412.2	19.8172	0.0105922	0.0876	0.000221108	0.1619	0.00279861	0.1607	0.00262064	18487.4	91.2292	18487.4	91.2292	-56396.4	597.606	-20113	859.118	46412	0	46412	0	35299.9	164.209	37876.3	180.695
99990.3	93.7509	0.0409109	0.1418	0.000416333	0.4096	0.00666533	0.4094	0.00667866	39979.2	150.324	39979.2	150.324	-119217	751.741	-40881.7	943.336	99987.6	2.4	99987.7	2.3	76514.8	183.957	82095	198.557
215419	440.163	0.17353	0.4554	0.00106667	1.0101	0.0165116	1.0083	0.0161066	86135.9	200.649	86135.9	200.649	-256545	1421.79	-86935.1	1846.29	215418	0.9	215418	0.9	164964	378.212	177105	417.995
464099	2076.24	1.29917	0.7635	0.0457547	2.4466	0.0319222	2.4448	0.0322069	185604	560.356	178626	6746.4	-554620	2352.43	-188757	2764.43	464098	0.933335	462998	1062.31	355079	526.546	381258	558.711
999855	9778.32	5.6009	2.0278	0.00950883	6.2898	0.19251	6.2859	0.191691	399314	493.993	399314	493.993	-1.19692e+06	1944.81	-409216	2998.43	999854	1.09999	999854	1.09999	765063	611.748	821345	689.52
