#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000	-nan	-0	0.0022075	4.91645e-05	0.0006425	4.68211e-05	-nan	-0	-nan	-0	559.715	8.58319	-208.155	12.198	-nan	-0	-nan	-0	981.915	1.81321	916.357	1.92309	-nan	-0
2154.4	-nan	-0	0.0030775	1.51429e-05	0.003305	2.56238e-05	-nan	-0	-nan	-0	1199.55	18.1887	-436.743	17.2902	-nan	-0	-nan	-0	2115.76	3.88113	1974.39	2.73201	-nan	-0
4641.44	-nan	-0	0.00654	0.000493462	0.00918	4.91175e-05	-nan	-0	-nan	-0	2431.78	53.6555	-1010.56	49.282	-nan	-0	-nan	-0	4532.76	10.0109	4240.1	8.44754	-nan	-0
9999.52	-nan	-0	0.017265	0.0014799	0.024815	0.000111952	-nan	-0	-nan	-0	4998.61	115.862	-2366.26	122.02	-nan	-0	-nan	-0	9733.39	19.5298	9104.9	20.0349	-nan	-0
21543	-nan	-0	0.0678475	0.0182154	0.0644975	0.000237362	-nan	-0	-nan	-0	9332.51	358.762	-5509.12	357.485	-nan	-0	-nan	-0	20713.3	64.9426	19546.2	57.3183	-nan	-0
46412.2	-nan	-0	0.23479	0.0771794	0.16549	0.000539574	-nan	-0	-nan	-0	20458.2	660.455	-10806.2	467.133	-nan	-0	-nan	-0	44734.6	111.582	42287.8	76.4387	-nan	-0
99990.3	-nan	-0	0.80815	0.342619	0.418095	0.00136867	-nan	-0	-nan	-0	38826.1	1477.3	-26639.2	1299.66	-nan	-0	-nan	-0	95526	238.135	90558.4	206.64	-nan	-0
215419	-nan	-0	5.85313	2.26013	1.04201	0.00329149	-nan	-0	-nan	-0	73994	3592.91	-62065.6	4517.15	-nan	-0	-nan	-0	204224	581.268	194278	746.627	-nan	-0
464099	-nan	-0	36.1873	11.1486	2.58361	0.00681131	-nan	-0	-nan	-0	123213	9351.5	-126365	5748.47	-nan	-0	-nan	-0	433747	1705.76	419930	927.616	-nan	-0
999855	-nan	-0	248.847	65.5012	6.32273	0.0163284	-nan	-0	-nan	-0	207045	19036	-333672	24265.7	-nan	-0	-nan	-0	924462	3308.6	894192	4120.06	-nan	-0
