#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000	-nan	-0	0.001875	7.27094e-05	0.00097	7.03393e-05	-nan	-0	-nan	-0	701.41	2.0923	-125.33	7.68182	-nan	-0	-nan	-0	1000	0	928.055	1.01094	-nan	-0
2154.4	-nan	-0	0.0031425	1.75e-05	0.0033425	2.76568e-05	-nan	-0	-nan	-0	1506.51	2.76742	-287.765	10.3689	-nan	-0	-nan	-0	2154	0	1997.86	1.46013	-nan	-0
4641.44	-nan	-0	0.0056575	2.76568e-05	0.00918	5.00025e-05	-nan	-0	-nan	-0	3244.71	4.77927	-611.45	17.8009	-nan	-0	-nan	-0	4641	0	4306.79	2.32801	-nan	-0
9999.52	-nan	-0	0.0154025	3.00582e-05	0.0249025	0.000102083	-nan	-0	-nan	-0	7002.65	6.55004	-1273.94	24.8043	-nan	-0	-nan	-0	9999	0	9280.6	3.5283	-nan	-0
21543	-nan	-0	0.0264725	3.33675e-05	0.0647475	0.000222758	-nan	-0	-nan	-0	15084.9	9.64467	-2750.05	35.8155	-nan	-0	-nan	-0	21542	0	19997.6	5.03233	-nan	-0
46412.2	-nan	-0	0.07546	2.56934e-05	0.164933	0.000566168	-nan	-0	-nan	-0	32505.3	13.7997	-5898.56	51.7682	-nan	-0	-nan	-0	46412	0	43094.3	6.95425	-nan	-0
99990.3	-nan	-0	0.128523	2.78509e-05	0.419395	0.00126273	-nan	-0	-nan	-0	70009.4	21.6303	-12716.4	80.981	-nan	-0	-nan	-0	99990	0	92838.5	11.642	-nan	-0
215419	-nan	-0	0.384737	0.000150925	1.04693	0.00288851	-nan	-0	-nan	-0	150739	29.5353	-27882.5	112.951	-nan	-0	-nan	-0	215419	0	199948	15.9872	-nan	-0
464099	-nan	-0	0.647618	0.000227805	2.58325	0.00647321	-nan	-0	-nan	-0	324897	45.744	-59465.2	170.881	-nan	-0	-nan	-0	464099	0	430852	22.3908	-nan	-0
999855	-nan	-0	1.70856	0.000706187	6.32146	0.0159006	-nan	-0	-nan	-0	699829	62.2606	-128527	235.565	-nan	-0	-nan	-0	999855	0.0199966	928163	31.9409	-nan	-0
