#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000	0.005125	6.3926e-05	0.0018	9.60769e-05	0.001375	7.75217e-05	0.00135	7.63763e-05	185.625	26.9928	59.8	92.1198	-1234.4	56.8225	-511.1	67.5049	944.2	15.9599	933.2	18.8406	761.825	10.9848	811.925	11.84
2154.4	0.026025	5.64721e-05	0.0031	4.80384e-05	0.0036	7.84465e-05	0.00365	8.43527e-05	373.675	48.7643	224.6	82.6218	-2697.62	129.894	-1243.17	148.229	2043.95	21.3484	2029.62	20.9029	1621.35	25.1452	1721.8	26.5532
4641.44	0.15275	0.000231356	0.021225	0.00707564	0.010475	0.000196075	0.01035	0.000184495	632.725	158.215	-224.675	367.149	-5921.12	240.897	-2775.82	284.922	4323.5	70.4489	4245.82	69.7099	3480.95	45.6568	3699.35	49.1013
9999.52	0.823325	0.000551673	0.01685	0.00104302	0.02705	0.000366812	0.026725	0.000354436	1872.05	149.373	442.2	458.414	-12177	245.937	-5338	284.386	9617.6	35.0275	9400.35	76.0255	7572.18	48.2965	8048.45	51.1717
21543	4.182	0.00160128	0.304875	0.153086	0.067925	0.000707458	0.067925	0.000707458	3144.55	375.865	-3649.93	1537.18	-26736.6	386.286	-12032.6	458.306	20530.8	142.602	19408	272.558	16227.6	77.4945	17251.7	83.043
46412.2	20.3679	0.00514859	1.5305	0.749093	0.1771	0.00175331	0.17705	0.00172981	7447.12	544.857	-13554.3	5468.36	-56397.9	572.935	-24477.6	674.275	44503.7	130.525	40879.6	947.748	35245.6	119.762	37455.1	126.647
99990.3	96.8651	0.0297412	6.20505	3.35134	0.431975	0.00366559	0.4319	0.00371221	11961	1928.5	-38886.7	8425.71	-131225	6553.59	-63869.6	7520.53	94626.4	871.761	85925.3	1550.01	74201.6	1066.48	78874.3	1133.03
215419	454.894	0.075992	23.9189	11.3397	1.07815	0.0101407	1.07808	0.0100793	31509.5	2351.19	-97532.5	15761.6	-300570	21647.4	-157426	24811.1	205802	571.474	183972	2613.18	157082	3541.08	167021	3766.96
464099	2135.69	1.06105	220.71	66.2917	2.61627	0.0187495	2.61672	0.018679	52119.9	6136.6	-296521	50340.6	-609135	13898.1	-295631	15877	437549	3374.37	381341	8161.21	344687	2277.81	366430	2421.7
999855	9896.32	29.919	1674.5	516.469	6.31112	0.0528894	6.31083	0.052931	105134	10821.7	-515110	87343.6	-1.30468e+06	36351.8	-628817	41551.7	949022	2459.47	843219	15678.2	743906	5779.08	790850	6139
