1/10  58.85 4.14  6.44  0.59  20.46 5.68  34.53 12.61 
1/2   26.62 2.20  4.68  0.20  65.67 22.47 23.21 8.77  
1     17.60 1.29  5.83  0.19  47.96 16.65 20.13 6.61 
2     74.14 1.95  61.6  1.61  15.40 7.00  16.72 6.89
10    374.44   8.03  365.2 7.66  68.2  9.59  50.05 2.74
