1/10  91.74 4.03  42.02 1.40  92.86 7.56  90.66 6.58    
1/2   47.56 2.49  22.00 0.31  85.65 14.42 59.64 5.40
1     28.24 1.09  22.00 0.00  65.34 15.00 47.52 6.32
2     84.72 1.99  72.59 1.51  48.40 12.36 42.90 8.07
10    393.83   9.07  385.68   7.65  76.14 13.92 64.44 4.00
