1/10  65.99 4.12  16.21 1.31  63.17 9.00  52.17 4.64 
1/2   29.26 2.10  6.65  0.38  24.30 3.69  36.62 8.42
1     15.02 1.63  4.99  0.00  30.02 11.06 41.02 11.23
2     73.37 1.93  61.64 1.66  23.42 6.96  30.02 9.79  
10    350.49   7.80  358.54   7.77  63.17 9.00  52.16 4.64  
