#t 	Susceptible 	Infected 	Recovered
0 	0	0	5659715
0.01	0	0	5659715
0.02	0	0	5659715
0.03	0	0	5659715
0.04	0	0	5659715
0.05	0	0	5659715
0.06	0	0	5659715
0.07	0	0	5659715
0.08	0	0	5659715
0.09	0	0	5659715
0.1	0	0	5659715
0.11	0	0	5659715
0.12	0	0	5659715
0.13	0	0	5659715
0.14	0	0	5659715
0.15	0	0	5659715
0.16	0	0	5659715
0.17	0	0	5659715
0.18	0	0	5659715
0.19	0	0	5659715
0.2	0	0	5659715
0.21	0	0	5659715
0.22	0	0	5659715
0.23	0	0	5659715
0.24	0	0	5659715
0.25	0	0	5659715
0.26	0	0	5659715
0.27	0	0	5659715
0.28	0	0	5659715
0.29	0	0	5659715
0.3	0	0	5659715
0.31	0	0	5659715
0.32	0	0	5659715
0.33	0	0	5659715
0.34	0	0	5659715
0.35000000000000003	0	0	5659715
0.36	0	0	5659715
0.37	0	0	5659715
0.38	0	0	5659715
0.39	0	0	5659715
0.4	0	0	5659715
0.41000000000000003	0	0	5659715
0.42	0	0	5659715
0.43	0	0	5659715
0.44	0	0	5659715
0.45	0	0	5659715
0.46	0	0	5659715
0.47000000000000003	0	0	5659715
0.48	0	0	5659715
0.49	0	0	5659715
0.5	0	0	5659715
0.51	0	0	5659715
0.52	0	0	5659715
0.53	0	0	5659715
0.54	0	0	5659715
0.55	0	0	5659715
0.56	0	0	5659715
0.5700000000000001	0	0	5659715
0.58	0	0	5659715
0.59	0	0	5659715
0.6	0	0	5659715
0.61	0	0	5659715
0.62	0	0	5659715
0.63	0	0	5659715
0.64	0	0	5659715
0.65	0	0	5659715
0.66	0	0	5659715
0.67	0	0	5659715
0.68	0	0	5659715
0.6900000000000001	0	0	5659715
0.7000000000000001	0	0	5659715
0.71	0	0	5659715
0.72	0	0	5659715
0.73	0	0	5659715
0.74	0	0	5659715
0.75	0	0	5659715
0.76	0	0	5659715
0.77	0	0	5659715
0.78	0	0	5659715
0.79	0	0	5659715
0.8	0	0	5659715
0.81	0	0	5659715
0.8200000000000001	0	0	5659715
0.8300000000000001	0	0	5659715
0.84	0	0	5659715
0.85	0	0	5659715
0.86	0	0	5659715
0.87	0	0	5659715
0.88	0	0	5659715
0.89	0	0	5659715
0.9	0	0	5659715
0.91	0	0	5659715
0.92	0	0	5659715
0.93	0	0	5659715
0.9400000000000001	0	0	5659715
0.9500000000000001	0	0	5659715
0.96	0	0	5659715
0.97	0	0	5659715
0.98	0	0	5659715
0.99	0	0	5659715
1.0	0	0	5659715
1.01	0	0	5659715
1.02	0	0	5659715
1.03	0	0	5659715
1.04	0	0	5659715
1.05	0	0	5659715
1.06	0	0	5659715
1.07	0	0	5659715
1.08	0	0	5659715
1.09	0	0	5659715
1.1	0	0	5659715
1.11	0	0	5659715
1.12	0	0	5659715
1.1300000000000001	0	0	5659715
1.1400000000000001	0	0	5659715
1.1500000000000001	0	0	5659715
1.16	0	0	5659715
1.17	0	0	5659715
